,City,Country,Lat,Lng,Hotel Name
30,Hermanus,ZA,-34.4187,19.2345,L'Oasis de Terre Rouge
97,San Patricio,MX,19.2167,-104.7,L'Oasis de Terre Rouge
110,Buraidah,SA,26.326,43.975,L'Oasis de Terre Rouge
128,Flinders,AU,-34.5833,150.8552,L'Oasis de Terre Rouge
133,Mawlaik,MM,23.6333,94.4167,L'Oasis de Terre Rouge
167,Willowmore,ZA,-33.2926,23.4895,L'Oasis de Terre Rouge
207,Pathein,MM,16.7833,94.7333,L'Oasis de Terre Rouge
378,Iquique,CL,-20.2208,-70.1431,L'Oasis de Terre Rouge
389,Vallenar,CL,-28.5708,-70.7581,L'Oasis de Terre Rouge
391,San Rafael,AR,-34.6177,-68.3301,L'Oasis de Terre Rouge
417,Tallahassee,US,30.4383,-84.2807,L'Oasis de Terre Rouge
418,Melipilla,CL,-33.7,-71.2167,L'Oasis de Terre Rouge
482,Marawi,PH,7.9986,124.2928,L'Oasis de Terre Rouge
485,Richards Bay,ZA,-28.783,32.0377,L'Oasis de Terre Rouge
544,Saint-Pierre,RE,-21.3393,55.4781,L'Oasis de Terre Rouge
